listingId,title,streetAddress,address,rent,beds,baths,sqft,propertyType,phone,latitude,longitude,url,placardType,timestamp
5hb2j1q,Aspen Green at Simsbury,20 Hopmeadow St,"20 Hopmeadow St, Village of Weatogue, CT 06089","$2,475 - $4,500",3,,,,(860) 784-7934,41.8228543,-72.8275773,https://www.apartments.com/aspen-green-at-simsbury-village-of-weatogue-ct/5hb2j1q/,diamond,2025-07-01T04:14:50.782Z
1bl22r6,Avon Woods Apartments,64 Avonwood Rd,"64 Avonwood Rd, Avon, CT 06001","$1,645 - $2,325",2,,,,(860) 846-3257,41.80098,-72.8242978,https://www.apartments.com/avon-woods-apartments-avon-ct/1bl22r6/,diamond,2025-07-01T04:14:50.833Z
jejxft7,King's Ridge (small quiet community),144 Hopmeadow St,"144 Hopmeadow St, Weatogue, CT 06089","$1,950 - $2,550",2,,,,(860) 421-9834,41.8319027,-72.8177831,https://www.apartments.com/kings-ridge-small-quiet-community-weatogue-ct/jejxft7/,gold,2025-07-01T04:14:50.862Z
18lmv05,The Flats at Talcott,51 Hopmeadow St,"51 Hopmeadow St, Weatogue, CT 06089","$1,760 - $1,805",1,,,,(959) 200-8673,41.8271392,-72.8277449,https://www.apartments.com/the-flats-at-talcott-weatogue-ct/18lmv05/,gold,2025-07-01T04:14:50.891Z
7w05g8y,Canal Place,1 Old Canal Way,"1 Old Canal Way, Weatogue, CT 06089","$2,065",3,,,,(860) 847-7465,41.8345121,-72.81914379999999,https://www.apartments.com/canal-place-weatogue-ct/7w05g8y/,gold,2025-07-01T04:14:50.923Z
rl0h433,Avon Colonial Manor,156 W Main St,"156 W Main St, Avon, CT 06001","$1,585 - $1,795",2,,,,(959) 251-1059,41.506841,-112.015958,https://www.apartments.com/avon-colonial-manor-avon-ct/rl0h433/,silver,2025-07-01T04:14:50.948Z
gb1twpx,"3 Sterling Pl, Avon, CT 06001",3 Sterling Pl,,"$2,800",2,2,1200,Townhome for Rent,(860) 864-5602,41.7579,-72.79674,https://www.apartments.com/3-sterling-pl-avon-ct/gb1twpx/,prosumer,2025-07-01T04:14:50.980Z
7db0pyy,"115 W Avon Rd, Unionville, CT 06085",115 W Avon Rd,,"$4,000",4,3,2342,House for Rent,(860) 530-6951,41.7579,-72.79674,https://www.apartments.com/115-w-avon-rd-unionville-ct/7db0pyy/,prosumer,2025-07-01T04:14:51.021Z
88k0w01,"1744 Farmington Ave Unit 2, Unionville, CT 06085",1744 Farmington Ave Unit 2,,"$1,600",1,1,650,Apartment for Rent,(860) 785-6445,41.7579,-72.79674,https://www.apartments.com/1744-farmington-ave-unionville-ct/88k0w01/,prosumer,2025-07-01T04:14:51.045Z
r7clh31,"10 Riverview Unit 10, Avon, CT 06001",10 Riverview Unit 10,,"$3,000",2,2.5,2028,Condo for Rent,(860) 986-9297,41.7579,-72.79674,https://www.apartments.com/10-riverview-avon-ct-unit-10/r7clh31/,prosumer,2025-07-01T04:14:51.081Z
bp29lkc,"16 Applewood Ln Unit 16, Avon, CT 06001",16 Applewood Ln Unit 16,,"$3,500",3,2.5,1910,Condo for Rent,(860) 944-3773,41.7579,-72.79674,https://www.apartments.com/16-applewood-ln-avon-ct-unit-16/bp29lkc/,prosumer,2025-07-01T04:14:51.131Z
6nhebpr,"84 New Rd, Avon, CT 06001",84 New Rd,,"$2,950",4,2.5,1922,House for Rent,(860) 888-2732,41.7579,-72.79674,https://www.apartments.com/84-new-rd-avon-ct/6nhebpr/,prosumer,2025-07-01T04:14:51.156Z
61l2ens,"55 Bishop Ln, Avon, CT 06001",55 Bishop Ln,,"$25,000",6,6,12157,House for Rent,(860) 874-6646,41.7579,-72.79674,https://www.apartments.com/55-bishop-ln-avon-ct/61l2ens/,prosumer,2025-07-01T04:14:51.190Z
rmhbnc0,"31 Rivermead, Avon, CT 06001",31 Rivermead,,"$3,150",3,3.5,1872,Condo for Rent,(860) 919-1631,41.7579,-72.79674,https://www.apartments.com/31-rivermead-avon-ct/rmhbnc0/,prosumer,2025-07-01T04:14:51.243Z
fqtqjzs,"41 Mallard Dr Unit 41, Avon, CT 06001",41 Mallard Dr Unit 41,,"$2,700",2,2,1258,Condo for Rent,(860) 573-0277,41.7579,-72.79674,https://www.apartments.com/41-mallard-dr-avon-ct-unit-41/fqtqjzs/,prosumer,2025-07-01T04:14:51.272Z
x9j6rwp,"54 Bridge St Unit #54 2nd floor west, Collinsville, CT 06019",54 Bridge St Unit #54 2nd floor west,,"$1,600",1,1,700,Apartment for Rent,(860) 560-1605,41.7579,-72.79674,https://www.apartments.com/54-bridge-st-collinsville-ct/x9j6rwp/,prosumer,2025-07-01T04:14:51.299Z
gwshp6y,"1657 Farmington Ave, Farmington, CT 06085",1657 Farmington Ave,,"$3,000",4,2.5,1608,House for Rent,(860) 913-9411,41.7579,-72.79674,https://www.apartments.com/1657-farmington-ave-farmington-ct/gwshp6y/,prosumer,2025-07-01T04:14:51.324Z
qfweh0w,"35 High St, Canton, CT 06019",35 High St,,"$2,800",4,1,1540,House for Rent,(860) 416-0388,41.7579,-72.79674,https://www.apartments.com/35-high-st-canton-ct/qfweh0w/,prosumer,2025-07-01T04:14:51.349Z
mw4jfeh,"92 Kenmore Rd, Bloomfield, CT 06002",92 Kenmore Rd,,"$5,500",3,2,2304,House for Rent,(203) 217-2692,41.7579,-72.79674,https://www.apartments.com/92-kenmore-rd-bloomfield-ct/mw4jfeh/,prosumer,2025-07-01T04:14:51.379Z
4fpt87k,"115 W Avon Rd, Farmington, CT 06085",115 W Avon Rd,,"$4,000",4,3,2642,House for Rent,(203) 228-3738,41.7579,-72.79674,https://www.apartments.com/115-w-avon-rd-farmington-ct/4fpt87k/,prosumer,2025-07-01T04:14:51.403Z
4qrq80l,Station 280,280 Salmon Brook St,"280 Salmon Brook St, Granby, CT 06035","$2,199 - $3,400",3,,,,(717) 895-8376,41.9589218,-72.787604,https://www.apartments.com/station-280-granby-ct/4qrq80l/,diamond,2025-07-01T04:15:07.031Z
t0w0yfc,The Olmsted Farmington,80 Batterson Park Rd,"80 Batterson Park Rd, Farmington, CT 06032","$2,265 - $5,640",3,,,,(959) 200-8329,41.714588,-72.792411,https://www.apartments.com/the-olmsted-farmington-farmington-ct/t0w0yfc/,diamond,2025-07-01T04:15:07.054Z
5hb2j1q,Aspen Green at Simsbury,20 Hopmeadow St,"20 Hopmeadow St, Village of Weatogue, CT 06089","$2,475 - $4,500",3,,,,(860) 784-7934,41.8228543,-72.8275773,https://www.apartments.com/aspen-green-at-simsbury-village-of-weatogue-ct/5hb2j1q/,diamond,2025-07-01T04:15:07.083Z
9zkjyq4,Mill Commons,1 Millers Way,"1 Millers Way, Simsbury, CT 06070","$2,833",2,,,,(877) 357-4465,52.19003670000001,-0.8812905,https://www.apartments.com/mill-commons-simsbury-ct/9zkjyq4/,diamond,2025-07-01T04:15:07.104Z
ght214x,The Pointe at Dorset Crossing,55 Dorset Crossing Dr,"55 Dorset Crossing Dr, Simsbury, CT 06070","$2,041 - $2,883",2,,,,(860) 847-7771,41.906691,-72.7914773,https://www.apartments.com/the-pointe-at-dorset-crossing-simsbury-ct/ght214x/,diamond,2025-07-01T04:15:07.128Z
1bl22r6,Avon Woods Apartments,64 Avonwood Rd,"64 Avonwood Rd, Avon, CT 06001","$1,645 - $2,325",2,,,,(860) 846-3257,41.80098,-72.8242978,https://www.apartments.com/avon-woods-apartments-avon-ct/1bl22r6/,diamond,2025-07-01T04:15:07.152Z
jj9vbz6,Up House,15 Farm Springs Rd,"15 Farm Springs Rd, Farmington, CT 06032","$1,649",2,,,,(860) 845-1202,41.7129997,-72.8014632,https://www.apartments.com/up-house-farmington-ct/jj9vbz6/,diamond,2025-07-01T04:15:07.175Z
6bc5n7t,The BRIT,267 Main St,"267 Main St, New Britain, CT 06051","$1,625 - $2,925",2,,,,(959) 666-6426,-27.4702716,153.0353584,https://www.apartments.com/the-brit-new-britain-ct/6bc5n7t/,diamond,2025-07-01T04:15:07.197Z
h3lq9m2,80 South Rd,80 South Rd,"80 South Rd, Farmington, CT 06032","$1,975",2,,,,(860) 850-2509,41.723779,-72.793814,https://www.apartments.com/80-south-rd-farmington-ct/h3lq9m2/,diamond,2025-07-01T04:15:07.220Z
vye0swg,The Grand Meadows,1 Bramble Bush Cir,"1 Bramble Bush Cir, East Granby, CT 06026","$3,214 - $4,639",4,,,,(860) 901-1468,41.9428299,-72.715345,https://www.apartments.com/the-grand-meadows-east-granby-ct/vye0swg/,diamond,2025-07-01T04:15:07.246Z
lbx6gjd,Newington Tower,1317 East St,"1317 East St, New Britain, CT 06053","$1,650 - $2,115",2,,,,(860) 846-4219,29.9947551,-81.6956817,https://www.apartments.com/newington-tower-new-britain-ct/lbx6gjd/,diamond,2025-07-01T04:15:07.268Z
1b1e607,Eagle Rock Apartments at West Hartford,1248-1260 Farmington Ave,"1248-1260 Farmington Ave, West Hartford, CT 06107","$1,920 - $2,935",2,,,,(860) 846-3192,41.7550018,-72.7673787,https://www.apartments.com/eagle-rock-apartments-at-west-hartford-west-hartford-ct/1b1e607/,diamond,2025-07-01T04:15:07.291Z
0281p12,Summit and Birch Hill Apartments,271-287 Main St,"271-287 Main St, Farmington, CT 06032","$1,695 - $2,295",2,,,,(860) 855-7601,41.706182,-72.84231,https://www.apartments.com/summit-and-birch-hill-apartments-farmington-ct/0281p12/,diamond,2025-07-01T04:15:07.313Z
byvx439,Kenmore Apartments,78 Laning St,"78 Laning St, Southington, CT 06489","$1,875 - $1,900",2,,,,(475) 255-0243,41.6309809,-72.870438,https://www.apartments.com/kenmore-apartments-southington-ct/byvx439/,diamond,2025-07-01T04:15:07.336Z
zk9lctz,New Country Club Estates,2086-2090 Stanley St,"2086-2090 Stanley St, New Britain, CT 06053","$1,600 - $1,675",1,,,,(860) 846-4880,41.7018963,-72.7751602,https://www.apartments.com/new-country-club-estates-new-britain-ct/zk9lctz/,diamond,2025-07-01T04:15:07.358Z
zpte8gy,Rao Building,160 Main St,"160 Main St, New Britain, CT 06051","$1,525 - $2,090",2,,,,(959) 245-2618,42.413807,-71.110636,https://www.apartments.com/rao-building-new-britain-ct/zpte8gy/,basic,2025-07-01T04:15:07.379Z
clxyh9g,Pebblebrook Apartments,44-46 Brittany Farms Rd,"44-46 Brittany Farms Rd, New Britain, CT 06053","$1,650 - $1,975",2,,,,(860) 846-3941,41.710624,-72.77055659999999,https://www.apartments.com/pebblebrook-apartments-new-britain-ct/clxyh9g/,basic,2025-07-01T04:15:07.401Z
by4nxcb,Residences at 299,299 Colt Hwy,"299 Colt Hwy, Farmington, CT 06032","$2,400 - $3,200",2,,,,(959) 245-2454,41.7083115,-72.8179091,https://www.apartments.com/residences-at-299-farmington-ct/by4nxcb/,basic,2025-07-01T04:15:07.423Z
69gj3sv,Highcroft Apartments,900 Highcroft Pl,"900 Highcroft Pl, Weatogue, CT 06089","$2,165 - $7,086",3,,,,(860) 773-0626,41.8536137,-72.8209639,https://www.apartments.com/highcroft-apartments-weatogue-ct/69gj3sv/,basic,2025-07-01T04:15:07.445Z
nnwxkcp,Eden & Main 55+ Apartments,37 Eden Ave,"37 Eden Ave, Southington, CT 06489","$2,200 - $2,350",2,,,,(860) 406-5718,41.5985023,-72.8795769,https://www.apartments.com/eden-main-55-apartments-southington-ct/nnwxkcp/,basic,2025-07-01T04:15:07.467Z
je8nl56,The Ridge at Talcott Mountain,200 Hopmeadow St,"200 Hopmeadow St, Weatogue, CT 06089","$2,200 - $2,520",2,,,,(959) 251-2355,41.8340384,-72.8122521,https://www.apartments.com/the-ridge-at-talcott-mountain-weatogue-ct/je8nl56/,basic,2025-07-01T04:15:07.489Z
8e7vec1,Huntington Woods,200 Blakeslee St,"200 Blakeslee St, Bristol, CT 06010","$1,830 - $2,024",3,,,,(959) 208-4802,41.6731653,-72.9307116,https://www.apartments.com/huntington-woods-bristol-ct/8e7vec1/,basic,2025-07-01T04:15:07.511Z
g3m8wez,Norton Park Apartments,100 Norton Park Rd,"100 Norton Park Rd, Plainville, CT 06062","$1,950 - $2,300",3,,,,(860) 730-1058,41.6624379,-72.875671,https://www.apartments.com/norton-park-apartments-plainville-ct/g3m8wez/,basic,2025-07-01T04:15:07.538Z
tdppp68,Normandy Heights,395 Brittany Farms Rd,"395 Brittany Farms Rd, New Britain, CT 06053","$1,365 - $2,795",2,,,,(860) 606-4574,41.7122584,-72.7697841,https://www.apartments.com/normandy-heights-new-britain-ct/tdppp68/,basic,2025-07-01T04:15:07.571Z
jr35754,The Bleu,1412 East St,"1412 East St, New Britain, CT 06053","$1,550",2,,,,(518) 714-1525,41.691923,-72.7636055,https://www.apartments.com/the-bleu-new-britain-ct/jr35754/,basic,2025-07-01T04:15:07.622Z
lh06qnf,22 High St,22 High St,"22 High St, Bristol, CT 06010","$1,575",2,,,,(860) 845-0611,42.3092938,-71.06065989999999,https://www.apartments.com/22-high-st-bristol-ct/lh06qnf/,basic,2025-07-01T04:15:07.658Z
gq7ph9x,The Grand Luxury Apartments and Homes,3 Murtha's Way,"3 Murtha's Way, Granby, CT 06035","$1,906 - $5,526",4,,,,(860) 370-2186,41.9316246,-72.7925212,https://www.apartments.com/the-grand-luxury-apartments-and-homes-granby-ct/gq7ph9x/,gold,2025-07-01T04:15:07.687Z
qm45qzy,Cardinal Hill,257 Kensington Ave,"257 Kensington Ave, New Britain, CT 06051","$1,150 - $1,500",1,,,,(860) 356-3021,40.59216840000001,-74.07434169999999,https://www.apartments.com/cardinal-hill-new-britain-ct/qm45qzy/,gold,2025-07-01T04:15:07.710Z
jm2h4l7,36 High St,36 High St,"36 High St, Bristol, CT 06010",,,,,,,43.21118329999999,-77.93554329999999,https://www.apartments.com/36-high-st-bristol-ct/jm2h4l7/,basic,2025-07-01T04:15:07.733Z
jejxft7,King's Ridge (small quiet community),144 Hopmeadow St,"144 Hopmeadow St, Weatogue, CT 06089","$1,950 - $2,550",2,,,,(860) 421-9834,41.8319027,-72.8177831,https://www.apartments.com/kings-ridge-small-quiet-community-weatogue-ct/jejxft7/,gold,2025-07-01T04:15:07.758Z
18lmv05,The Flats at Talcott,51 Hopmeadow St,"51 Hopmeadow St, Weatogue, CT 06089","$1,760 - $1,805",1,,,,(959) 200-8673,41.8271392,-72.8277449,https://www.apartments.com/the-flats-at-talcott-weatogue-ct/18lmv05/,gold,2025-07-01T04:15:07.781Z
7w05g8y,Canal Place,1 Old Canal Way,"1 Old Canal Way, Weatogue, CT 06089","$2,065",3,,,,(860) 847-7465,41.8345121,-72.81914379999999,https://www.apartments.com/canal-place-weatogue-ct/7w05g8y/,gold,2025-07-01T04:15:07.803Z
58gm7lq,Redstone Gardens,218 Surrey Dr,"218 Surrey Dr, Bristol, CT 06010","$1,250 - $1,762",3,,,,(877) 680-5232,41.6647636,-72.90932819999999,https://www.apartments.com/redstone-gardens-bristol-ct/58gm7lq/,gold,2025-07-01T04:15:07.825Z
0hmh4s1,Simsbury Center Apartments,969 Hopmeadow St,"969 Hopmeadow St, Simsbury, CT 06070","$1,775 - $1,950",1,,,,(860) 590-2231,41.8839839,-72.79989929999999,https://www.apartments.com/simsbury-center-apartments-simsbury-ct/0hmh4s1/,gold,2025-07-01T04:15:07.847Z
64ys5rt,The Croft Farmington,5 Spring Ln,"5 Spring Ln, Farmington, CT 06032","$1,775",2,,,,(860) 773-4438,40.240527,-74.89541419999999,https://www.apartments.com/the-croft-farmington-farmington-ct/64ys5rt/,gold,2025-07-01T04:15:07.868Z
kkw7t49,Greenway Village,24 Mill Pond Dr,"24 Mill Pond Dr, Granby, CT 06035","$2,200 - $2,800",2,,,,(959) 230-0537,41.9350232,-72.78677379999999,https://www.apartments.com/greenway-village-granby-ct/kkw7t49/,gold,2025-07-01T04:15:07.889Z
q4f896z,Colonial Village,22 Colonial Ct,"22 Colonial Ct, Plainville, CT 06062","$1,665 - $2,445",2,,,,(475) 255-0358,37.7582154,-87.10565439999999,https://www.apartments.com/colonial-village-plainville-ct/q4f896z/,gold,2025-07-01T04:15:07.911Z
newys4q,Evergreen Town House Apartments,600 Ellis St,"600 Ellis St, New Britain, CT 06051","$1,550 - $1,675",2,,,,(860) 854-3858,37.7845634,-122.4162623,https://www.apartments.com/evergreen-town-house-apartments-new-britain-ct/newys4q/,gold,2025-07-01T04:15:07.932Z
66w796t,Main Place Apartments,931-947 W Main St,"931-947 W Main St, New Britain, CT 06053","$1,600 - $1,695",2,,,,(860) 846-4462,41.6683673,-72.8140203,https://www.apartments.com/main-place-apartments-new-britain-ct/66w796t/,gold,2025-07-01T04:15:07.956Z
n035gxq,Pine Brook Terrace,10-90 Pine Brook Ter,"10-90 Pine Brook Ter, Bristol, CT 06010","$1,500",2,,,,(959) 245-2401,41.6553995,-72.9173459,https://www.apartments.com/pine-brook-terrace-bristol-ct/n035gxq/,gold,2025-07-01T04:15:07.977Z
vvvn80d,Farmington Court Apartments,1449-1495 Farmington Ave,"1449-1495 Farmington Ave, Farmington, CT 06032","$2,245",2,,,,(860) 846-4985,41.745459,-72.8633679,https://www.apartments.com/farmington-court-apartments-farmington-ct/vvvn80d/,gold,2025-07-01T04:16:42.428Z
zkwzqcw,Fairway Apartments,171 Hartford Rd,"171 Hartford Rd, New Britain, CT 06053","$1,260 - $1,405",,,,,(860) 846-4308,41.7040492,-72.7704626,https://www.apartments.com/fairway-apartments-new-britain-ct/zkwzqcw/,gold,2025-07-01T04:16:42.462Z
tktm9t8,Sunset Rock Apartments,126 New Britain Ave,"126 New Britain Ave, Plainville, CT 06062","$1,595 - $2,095",2,,,,(860) 846-4241,41.6755882,-72.84912469999999,https://www.apartments.com/sunset-rock-apartments-plainville-ct/tktm9t8/,gold,2025-07-01T04:16:42.498Z
xpcrlym,Springwood Gardens,192 Allen St,"192 Allen St, New Britain, CT 06053","$1,320 - $1,665",3,,,,(860) 846-3500,40.72218,-73.988666,https://www.apartments.com/springwood-gardens-new-britain-ct/xpcrlym/,gold,2025-07-01T04:16:42.542Z
5ksrnlp,The Ellis Block,321 Ellis St,"321 Ellis St, New Britain, CT 06051","$1,675 - $2,461",3,,,,(860) 259-2159,41.6587254,-72.769657,https://www.apartments.com/the-ellis-block-new-britain-ct/5ksrnlp/,gold,2025-07-01T04:16:42.577Z
328f50d,ReNew Bristol,1175 Farmington Ave,"1175 Farmington Ave, Bristol, CT 06010","$1,370 - $1,798",2,,,,(959) 245-2610,41.6981964,-72.9048756,https://www.apartments.com/renew-bristol-bristol-ct/328f50d/,gold,2025-07-01T04:16:42.592Z
v9l87gg,124 Pennsylvania Ave,124 Pennsylvania Ave,"124 Pennsylvania Ave, New Britain, CT 06052","$1,700",2,1,1776,House for Rent,,,,https://www.apartments.com/124-pennsylvania-ave-new-britain-ct/v9l87gg/,gold,2025-07-01T04:16:42.612Z
mpv39jl,38 Prospect St Unit 300,38 Prospect St Unit 300,"38 Prospect St Unit 300, Bristol, CT 06010","$1,195",2,1,800,Apartment for Rent,,,,https://www.apartments.com/38-prospect-st-bristol-ct/mpv39jl/,gold,2025-07-01T04:16:42.635Z
db1sneh,Furnished Studio-Hartford - Farmington,1 Batterson Park Rd,"1 Batterson Park Rd, Farmington, CT 06032","$2,999",,1,300,Apartment for Rent,(860) 932-8616,,,https://www.apartments.com/furnished-studio-hartford-farmington-farmington-ct/db1sneh/,gold,2025-07-01T04:16:42.648Z
